,Int,IntYds,IntAvg,IntLong,IntTd,Solo,Ast,Tot,Sack,SackYds,SId,TId,PId,Player
2,0,0,0.00,0,0,61,91,3.0,22.0,--,S3,T24,P28,/players/jordan-hicks-hicksjo03
3,3,64,21.33,48,0,93,150,1.5,11.5,6,S2,T1,P28,/players/jordan-hicks-hicksjo03
4,1,6,6.00,6,0,78,118,0.0,0.0,4,S1,T1,P28,/players/jordan-hicks-hicksjo03
0,0,0,0.00,0,0,6,6,0.0,0.0,--,S5,T13,P29,/players/deandre-hopkins-hopkide01
1,0,0,0.00,0,0,2,3,0.0,0.0,--,S4,T13,P29,/players/deandre-hopkins-hopkide01
2,0,0,0.00,0,0,2,2,0.0,0.0,--,S3,T13,P29,/players/deandre-hopkins-hopkide01
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T13,P29,/players/deandre-hopkins-hopkide01
4,0,0,0.00,0,0,3,3,0.0,0.0,0,S1,T1,P29,/players/deandre-hopkins-hopkide01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T1,P30,/players/dj-humphries-humphdj01
1,0,0,0.00,0,0,1,1,0.0,0.0,--,S4,T1,P30,/players/dj-humphries-humphdj01
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T1,P30,/players/dj-humphries-humphdj01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P30,/players/dj-humphries-humphdj01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P30,/players/dj-humphries-humphdj01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T12,P31,/players/brett-hundley-hundlbr01
1,0,0,0.00,0,0,1,1,0.0,0.0,--,S4,T12,P31,/players/brett-hundley-hundlbr01
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T12,P31,/players/brett-hundley-hundlbr01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P31,/players/brett-hundley-hundlbr01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P31,/players/brett-hundley-hundlbr01
0,0,0,0.00,0,0,5,5,0.0,0.0,--,S4,T6,P32,/players/isaiah-irving-irvinis01
1,0,0,0.00,0,0,7,8,1.0,9.0,--,S3,T6,P32,/players/isaiah-irving-irvinis01
2,0,0,0.00,0,0,11,14,0.0,0.0,0,S2,T6,P32,/players/isaiah-irving-irvinis01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P32,/players/isaiah-irving-irvinis01
0,0,0,0.00,0,0,1,3,0.0,0.0,0,S2,T1,P33,/players/andy-isabella-isabean01
1,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P33,/players/andy-isabella-isabean01
0,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P34,/players/keesean-johnson-johnske24
1,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P34,/players/keesean-johnson-johnske24
0,0,0,0.00,0,0,38,49,11.0,85.5,--,S5,T1,P35,/players/chandler-jones-jonesch09
1,0,0,0.00,0,0,52,59,17.0,113.0,--,S4,T1,P35,/players/chandler-jones-jonesch09
2,0,0,0.00,0,0,38,49,13.0,71.0,--,S3,T1,P35,/players/chandler-jones-jonesch09
3,0,0,0.00,0,0,42,53,19.0,146.0,5,S2,T1,P35,/players/chandler-jones-jonesch09
4,0,0,0.00,0,0,5,11,1.0,5.0,0,S1,T1,P35,/players/chandler-jones-jonesch09
0,0,0,0.00,0,0,38,45,0.0,0.0,--,S5,T13,P37,/players/johnathan-joseph-josepjo01
1,2,85,42.50,82t,1,37,47,0.0,0.0,--,S4,T13,P37,/players/johnathan-joseph-josepjo01
2,2,46,23.00,28t,1,49,58,0.0,0.0,--,S3,T13,P37,/players/johnathan-joseph-josepjo01
3,1,0,0.00,0,0,43,51,0.0,0.0,13,S2,T13,P37,/players/johnathan-joseph-josepjo01
4,1,5,5.00,5,0,25,29,0.0,0.0,5,S1,T31,P37,/players/johnathan-joseph-josepjo01
0,0,0,0.00,0,0,40,61,1.0,8.0,--,S5,T21,P38,/players/devon-kennard-kennade02
1,0,0,0.00,0,0,24,41,4.0,24.0,--,S4,T21,P38,/players/devon-kennard-kennade02
2,0,0,0.00,0,0,30,46,7.0,67.0,--,S3,T11,P38,/players/devon-kennard-kennade02
3,0,0,0.00,0,0,45,58,7.0,39.0,0,S2,T11,P38,/players/devon-kennard-kennade02
4,0,0,0.00,0,0,15,19,3.0,20.0,0,S1,T1,P38,/players/devon-kennard-kennade02
0,0,0,0.00,0,0,2,2,0.0,0.0,--,S3,T1,P39,/players/christian-kirk-kirkch01
1,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T1,P39,/players/christian-kirk-kirkch01
2,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P39,/players/christian-kirk-kirkch01
0,3,21,7.00,21,0,35,46,0.0,0.0,--,S5,T7,P40,/players/dre-kirkpatrick-kirkpdr01
1,1,101,101.00,101,0,47,55,1.0,2.0,--,S4,T7,P40,/players/dre-kirkpatrick-kirkpdr01
2,0,0,0.00,0,0,35,41,0.0,0.0,--,S3,T7,P40,/players/dre-kirkpatrick-kirkpdr01
3,0,0,0.00,0,0,27,33,1.0,9.0,4,S2,T7,P40,/players/dre-kirkpatrick-kirkpdr01
4,3,13,4.33,13,0,53,56,0.0,0.0,7,S1,T1,P40,/players/dre-kirkpatrick-kirkpdr01
0,0,0,0.00,0,0,7,9,0.0,0.0,0,S1,T1,P41,/players/rashard-lawrence-lawrera02
0,0,0,0.00,0,0,1,1,0.0,0.0,--,S5,T5,P42,/players/andy-lee-leean01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T1,P42,/players/andy-lee-leean01
2,0,0,0.00,0,0,1,1,0.0,0.0,--,S3,T1,P42,/players/andy-lee-leean01
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T1,P42,/players/andy-lee-leean01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P42,/players/andy-lee-leean01
0,0,0,0.00,0,0,24,32,0.0,0.0,--,S5,T1,P43,/players/josh-mauro-maurojo01
1,0,0,0.00,0,0,15,22,1.0,8.0,--,S4,T1,P43,/players/josh-mauro-maurojo01
2,0,0,0.00,0,0,17,28,1.0,7.0,--,S3,T21,P43,/players/josh-mauro-maurojo01
3,0,0,0.00,0,0,11,19,0.0,0.0,1,S2,T23,P43,/players/josh-mauro-maurojo01
4,0,0,0.00,0,0,3,5,1.0,10.0,0,S1,T1,P43,/players/josh-mauro-maurojo01
0,0,0,0.00,0,0,14,17,2.5,13.5,--,S5,T23,P44,/players/stacy-mcgee-mcgeest02
1,0,0,0.00,0,0,24,44,0.0,0.0,--,S4,T32,P44,/players/stacy-mcgee-mcgeest02
2,0,0,0.00,0,0,7,9,1.0,3.0,--,S3,T32,P44,/players/stacy-mcgee-mcgeest02
3,0,0,0.00,0,0,0,2,0.5,4.0,0,S2,T5,P44,/players/stacy-mcgee-mcgeest02
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P44,/players/stacy-mcgee-mcgeest02
0,1,0,0.00,0,0,66,78,0.0,0.0,10,S2,T1,P46,/players/byron-murphy-murphby01
1,0,0,0.00,0,0,40,51,2.0,10.0,8,S1,T1,P46,/players/byron-murphy-murphby01
