,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
2,0,0,0.00,0.0,0,0,--,0,0,S3,T25,P2620,/players/tevin-jones-joneste08
3,4,61,15.25,12.2,28,0,1,10,11,S2,T25,P2620,/players/tevin-jones-joneste08
0,0,0,0.00,0.0,0,0,--,0,0,S3,T9,P2621,/players/kameron-kelly-kellyka02
0,0,0,0.00,0.0,0,0,--,0,0,S5,T10,P2622,/players/paxton-lynch-lynchpa02
1,0,0,0.00,0.0,0,0,--,0,0,S4,T10,P2622,/players/paxton-lynch-lynchpa02
2,0,0,0.00,0.0,0,0,--,0,0,S3,T10,P2622,/players/paxton-lynch-lynchpa02
3,0,0,0.00,0.0,0,0,0,0,0,S2,T25,P2622,/players/paxton-lynch-lynchpa02
0,2,5,2.50,0.5,3,0,--,2,6,S5,T25,P2623,/players/roosevelt-nix-nixro02
1,2,6,3.00,0.4,5,1,--,3,3,S4,T25,P2623,/players/roosevelt-nix-nixro02
2,4,38,9.50,2.4,19,0,--,6,43,S3,T25,P2623,/players/roosevelt-nix-nixro02
3,2,4,2.00,1.3,4,0,0,3,9,S2,T25,P2623,/players/roosevelt-nix-nixro02
0,6,41,6.83,2.6,12,0,--,7,18,S4,T9,P2624,/players/ryan-switzer-switzry01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T23,P2624,/players/ryan-switzer-switzry01
2,8,27,3.38,3.0,8,0,0,11,17,S2,T25,P2624,/players/ryan-switzer-switzry01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T6,P2625,/players/kerrith-whyte-whyteke01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T24,P2626,/players/rashard-davis-davisra04
1,0,0,0.00,0.0,0,0,--,0,0,S3,T24,P2626,/players/rashard-davis-davisra04
2,0,0,0.00,0.0,0,0,0,0,0,S2,T16,P2626,/players/rashard-davis-davisra04
0,0,0,0.00,0.0,0,0,--,0,0,S3,T31,P2627,/players/dalyn-dawkins-dawkida02
1,0,0,0.00,0.0,0,0,0,1,0,S2,T31,P2627,/players/dalyn-dawkins-dawkida02
0,0,0,0.00,0.0,0,0,--,0,0,S5,T31,P2628,/players/david-fluellen-fluelda01
