,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T15,P1627,/players/logan-cooke-cookelo01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T15,P1627,/players/logan-cooke-cookelo01
0,33,37,89.2,0-0,11-13,13-13,8-10,1-1,53,29,35,82.9,128,S5,T28,P1641,/players/stephen-hauschka-hauscst01
1,29,33,87.9,0-0,6-6,9-9,7-9,7-9,56,29,29,100.0,116,S4,T4,P1641,/players/stephen-hauschka-hauscst01
2,22,28,78.6,0-0,3-3,8-8,7-10,4-7,54,25,26,96.2,91,S3,T4,P1641,/players/stephen-hauschka-hauscst01
3,22,28,78.6,0-0,5-5,7-8,9-10,1-5,51,30,32,93.8,96,S2,T4,P1641,/players/stephen-hauschka-hauscst01
4,0,2,0.0,0-0,0-1,0-0,0-1,0-0,0,2,2,100.0,2,S1,T15,P1641,/players/stephen-hauschka-hauscst01
0,26,32,81.2,0-0,7-7,13-14,6-8,0-3,47,42,46,91.3,120,S5,T26,P1651,/players/josh-lambo-lambojo01
1,19,20,95.0,0-0,2-2,11-11,4-5,2-2,56,22,24,91.7,79,S4,T15,P1651,/players/josh-lambo-lambojo01
2,19,21,90.5,0-0,4-4,8-8,3-4,4-5,57,19,20,95.0,76,S3,T15,P1651,/players/josh-lambo-lambojo01
3,33,34,97.1,0-0,12-12,9-9,8-9,4-4,56,19,20,95.0,118,S2,T15,P1651,/players/josh-lambo-lambojo01
4,5,5,100.0,0-0,0-0,2-2,1-1,2-2,59,8,10,80.0,23,S1,T15,P1651,/players/josh-lambo-lambojo01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T4,P1658,/players/chase-mclaughlin-mclauch02
1,4,5,80.0,0-0,1-1,1-1,1-1,1-2,52,3,4,75.0,15,S1,T15,P1658,/players/chase-mclaughlin-mclauch02
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T31,P1675,/players/aldrick-rosas-rosasal01
1,18,25,72.0,0-0,8-8,3-5,4-9,3-3,52,20,23,87.0,74,S4,T21,P1675,/players/aldrick-rosas-rosasal01
2,32,33,97.0,0-0,9-9,13-13,6-6,4-5,57,31,32,96.9,127,S3,T21,P1675,/players/aldrick-rosas-rosasal01
3,12,17,70.6,0-0,6-6,5-6,1-4,0-1,45,35,39,89.7,71,S2,T21,P1675,/players/aldrick-rosas-rosasal01
4,8,11,72.7,0-0,3-3,2-2,0-1,3-5,54,9,9,100.0,33,S1,T15,P1675,/players/aldrick-rosas-rosasal01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,1,2,50.0,1,S1,T15,P1692,/players/brandon-wright-wrighbr03
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T5,P1697,/players/harrison-butker-butkeha01
1,24,27,88.9,0-0,9-9,7-7,6-7,2-4,54,65,69,94.2,137,S3,T16,P1697,/players/harrison-butker-butkeha01
2,34,38,89.5,0-0,9-9,9-10,13-13,3-6,56,45,48,93.8,147,S2,T16,P1697,/players/harrison-butker-butkeha01
3,25,27,92.6,2-2,7-7,9-9,3-5,4-4,58,48,54,88.9,123,S1,T16,P1697,/players/harrison-butker-butkeha01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T16,P1710,/players/darius-harris-harrida12
0,1,4,25.0,0-0,0-0,0-1,1-3,0-0,48,6,6,100.0,9,S3,T18,P1769,/players/daniel-carlson-carlsda01
1,19,26,73.1,0-0,8-8,5-6,6-10,0-2,48,34,36,94.4,91,S2,T23,P1769,/players/daniel-carlson-carlsda01
2,33,35,94.3,0-0,18-18,8-8,3-5,4-4,54,45,47,95.7,144,S1,T23,P1769,/players/daniel-carlson-carlsda01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T9,P1783,/players/jeff-heath-heathje01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,2,3,66.7,2,S4,T9,P1783,/players/jeff-heath-heathje01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T9,P1783,/players/jeff-heath-heathje01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T9,P1783,/players/jeff-heath-heathje01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T23,P1783,/players/jeff-heath-heathje01
0,15,16,93.8,0-0,4-4,5-5,5-5,1-2,59,27,28,96.4,72,S3,T26,P1832,/players/michael-badgley-badglmi01
1,13,16,81.2,0-0,5-5,2-2,6-8,0-1,49,19,19,100.0,58,S2,T26,P1832,/players/michael-badgley-badglmi01
2,24,33,72.7,0-0,8-8,6-6,8-13,2-6,53,36,39,92.3,108,S1,T26,P1832,/players/michael-badgley-badglmi01
0,7,9,77.8,0-0,0-0,2-3,4-5,1-1,51,9,9,100.0,30,S2,T26,P1870,/players/ty-long-longty01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T26,P1870,/players/ty-long-longty01
0,18,20,90.0,0-0,7-7,3-3,7-9,1-1,50,35,36,97.2,89,S3,T17,P1948,/players/jason-sanders-sandeja03
1,23,30,76.7,0-0,7-7,8-9,5-9,3-5,54,29,30,96.7,98,S2,T17,P1948,/players/jason-sanders-sandeja03
